"","iso","span"
"1","ABW",0
"2","AFG",39
"3","AGO",58
"4","AIA",2
"5","ALB",41
"6","AND",24
"7","ARE",21
"8","ARG",38
"9","ARM",41
"10","ASM",1
"11","ATG",21
"12","AUS",24
"13","AUT",24
"14","AZE",26
"15","BDI",46
"16","BEL",24
"17","BEN",32
"18","BFA",29
"19","BGD",31
"20","BGR",38
"21","BHR",28
"22","BHS",20
"23","BIH",26
"24","BLR",25
"25","BLZ",19
"26","BMU",8
"27","BOL",38
"28","BRA",38
"29","BRB",24
"30","BRN",16
"31","BTN",27
"32","BWA",29
"33","CAF",32
"34","CAN",27
"35","CHE",24
"36","CHL",44
"37","CHN",38
"38","CIV",31
"39","CMR",29
"40","COD",54
"41","COG",28
"42","COK",9
"43","COL",33
"44","COM",29
"45","CPV",26
"46","CRI",27
"47","CUB",39
"48","CUW",5
"49","CYM",8
"50","CYP",25
"51","CZE",38
"52","DEU",27
"53","DJI",28
"54","DMA",22
"55","DNK",24
"56","DOM",25
"57","DZA",38
"58","ECU",28
"59","EGY",38
"60","ERI",39
"61","ESH",43
"62","ESP",24
"63","EST",27
"64","ETH",51
"65","FIN",23
"66","FJI",28
"67","FRA",24
"68","FSM",3
"69","GAB",26
"70","GBR",28
"71","GEO",25
"72","GHA",38
"73","GIB",11
"74","GIN",27
"75","GLP",1
"76","GMB",30
"77","GNB",55
"78","GNQ",27
"79","GRC",30
"80","GRD",24
"81","GTM",38
"82","GUF",7
"83","GUM",1
"84","GUY",30
"85","HKG",26
"86","HND",32
"87","HRV",26
"88","HTI",40
"89","HUN",38
"90","IDN",40
"91","IND",30
"92","IRL",18
"93","IRN",38
"94","IRQ",40
"95","ISL",16
"96","ISR",30
"97","ITA",26
"98","JAM",25
"99","JOR",35
"100","JPN",24
"101","KAZ",26
"102","KEN",30
"103","KGZ",25
"104","KHM",43
"105","KIR",16
"106","KNA",18
"107","KOR",27
"108","KWT",28
"109","LAO",43
"110","LBN",30
"111","LBR",30
"112","LBY",38
"113","LCA",23
"114","LIE",0
"115","LKA",33
"116","LSO",22
"117","LTU",28
"118","LUX",9
"119","LVA",26
"120","MAC",22
"121","MAR",35
"122","MCO",9
"123","MDA",25
"124","MDG",27
"125","MDV",22
"126","MEX",24
"127","MHL",6
"128","MKD",25
"129","MLI",28
"130","MLT",24
"131","MMR",30
"132","MNE",12
"133","MNG",28
"134","MOZ",54
"135","MRT",34
"136","MTQ",2
"137","MUS",24
"138","MWI",52
"139","MYS",27
"140","NAM",52
"141","NCL",1
"142","NER",27
"143","NFK",2
"144","NGA",33
"145","NIC",40
"146","NIU",7
"147","NLD",24
"148","NOR",24
"149","NPL",26
"150","NRU",9
"151","NZL",18
"152","OMN",24
"153","PAK",36
"154","PAN",30
"155","PER",30
"156","PHL",41
"157","PLW",6
"158","PNG",23
"159","POL",38
"160","PRI",2
"161","PRK",24
"162","PRT",24
"163","PRY",28
"164","PSE",33
"165","PYF",1
"166","QAT",24
"167","ROU",38
"168","RUS",38
"169","RWA",57
"170","SAU",25
"171","SDN",55
"172","SEN",30
"173","SGP",26
"174","SJM",0
"175","SLB",23
"176","SLE",30
"177","SLV",38
"178","SMR",21
"179","SOM",43
"180","SPM",3
"181","SRB",38
"182","SSD",7
"183","Stateless",38
"184","STP",28
"185","SUR",29
"186","SVK",24
"187","SVN",25
"188","SWE",24
"189","SWZ",25
"190","SYC",35
"191","SYR",39
"192","TCA",16
"193","TCD",39
"194","TGO",34
"195","THA",29
"196","TIB",54
"197","TJK",26
"198","TKM",24
"199","TLS",19
"200","TON",22
"201","TTO",28
"202","TUN",38
"203","TUR",36
"204","TUV",9
"205","TZA",31
"206","UGA",45
"207","UKR",26
"208","URY",38
"209","USA",28
"210","UZB",25
"211","Various/Unknown",0
"212","VAT",1
"213","VCT",24
"214","VEN",27
"215","VGB",0
"216","VNM",43
"217","VUT",9
"218","WLF",2
"219","WSM",21
"220","YEM",40
"221","ZAF",52
"222","ZMB",30
"223","ZWE",35
