year,iso,interstate,civilwar,intervention
1978,AFG,0,1,0
1979,AFG,0,1,0
1980,AFG,0,0,1
1981,AFG,0,0,1
1982,AFG,0,0,1
1983,AFG,0,0,1
1984,AFG,0,0,1
1985,AFG,0,0,1
1986,AFG,0,0,1
1987,AFG,0,0,1
1988,AFG,0,0,1
1989,AFG,0,0,1
1990,AFG,0,1,0
1991,AFG,0,1,0
1992,AFG,0,1,0
1993,AFG,0,1,0
1994,AFG,0,1,0
1995,AFG,0,1,0
1996,AFG,0,1,0
1997,AFG,0,1,0
1998,AFG,0,1,0
1999,AFG,0,1,0
2000,AFG,0,1,0
2001,AFG,0,0,1
2002,AFG,0,1,0
2003,AFG,0,0,1
2004,AFG,0,0,1
2005,AFG,0,0,1
2006,AFG,0,0,1
2007,AFG,0,0,1
2008,AFG,0,0,1
2009,AFG,0,0,1
2010,AFG,0,0,1
2011,AFG,0,0,1
2012,AFG,0,0,1
2013,AFG,0,0,1
2014,AFG,0,0,1
2015,AFG,0,0,1
2016,AFG,0,0,1
2017,AFG,0,0,1
2018,AFG,0,0,1
1961,AGO,1,0,0
1962,AGO,1,0,0
1963,AGO,1,0,0
1964,AGO,1,0,0
1965,AGO,1,0,0
1966,AGO,1,0,0
1967,AGO,1,0,0
1968,AGO,1,0,0
1969,AGO,1,0,0
1970,AGO,1,0,0
1971,AGO,1,0,0
1972,AGO,1,0,0
1973,AGO,1,0,0
1974,AGO,1,0,0
1975,AGO,0,0,1
1976,AGO,0,0,1
1977,AGO,0,0,1
1978,AGO,0,0,1
1979,AGO,0,0,1
1980,AGO,0,0,1
1981,AGO,0,0,1
1982,AGO,0,0,1
1983,AGO,0,0,1
1984,AGO,0,0,1
1985,AGO,0,0,1
1986,AGO,0,0,1
1987,AGO,0,0,1
1988,AGO,0,0,1
1989,AGO,0,0,1
1990,AGO,0,1,0
1991,AGO,0,1,0
1992,AGO,0,1,0
1993,AGO,0,1,0
1994,AGO,0,1,0
1995,AGO,0,1,0
1996,AGO,0,1,0
1997,AGO,0,1,0
1998,AGO,0,1,0
1999,AGO,0,0,1
2000,AGO,0,0,1
2001,AGO,0,0,1
2002,AGO,0,0,1
2004,AGO,0,1,0
2007,AGO,0,1,0
2009,AGO,0,1,0
2017,AGO,0,1,0
1955,ARG,0,1,0
1963,ARG,0,1,0
1974,ARG,0,1,0
1975,ARG,0,1,0
1976,ARG,0,1,0
1977,ARG,0,1,0
1991,AZE,0,0,1
1992,AZE,0,0,1
1993,AZE,0,0,1
1994,AZE,0,1,0
1995,AZE,0,1,0
1997,AZE,0,0,1
1998,AZE,0,0,1
2005,AZE,0,0,1
2008,AZE,0,0,1
2012,AZE,0,0,1
2014,AZE,0,0,1
2015,AZE,0,0,1
2016,AZE,0,0,1
