iso,year,gini
AGO,2000,52
AGO,2008,42.7
AGO,2018,51.3
ALB,1996,27
ALB,2002,31.7
ALB,2005,30.6
ALB,2008,30
ALB,2012,29
ALB,2014,34.6
ALB,2015,32.9
ALB,2016,33.7
ALB,2017,33.2
ARE,2014,32.5
ARG,1980,40.8
ARG,1986,42.8
ARG,1987,45.3
ARG,1991,46.8
ARG,1992,45.5
ARG,1993,44.9
ARG,1994,45.9
ARG,1995,48.9
ARG,1996,49.5
ARG,1997,49.1
ARG,1998,50.7
ARG,1999,49.8
ARG,2000,51.1
ARG,2001,53.3
ARG,2002,53.8
ARG,2003,51.2
ARG,2004,48.6
ARG,2005,48
ARG,2006,46.7
ARG,2007,46.6
ARG,2008,45.3
ARG,2009,44.1
ARG,2010,44.5
ARG,2011,42.7
ARG,2012,41.4
ARG,2013,41
ARG,2014,41.7
ARG,2016,42
ARG,2017,41.2
ARG,2018,41.4
ARM,1999,36.2
ARM,2001,35.4
ARM,2002,34.8
ARM,2003,33
ARM,2004,37.5
ARM,2005,36
ARM,2006,29.7
ARM,2007,31.2
ARM,2008,29.2
ARM,2009,28
ARM,2010,30
ARM,2011,29.4
ARM,2012,29.6
ARM,2013,30.6
ARM,2014,31.5
ARM,2015,32.4
ARM,2016,32.5
ARM,2017,33.6
ARM,2018,34.4
AUS,1981,31.3
AUS,1985,32.5
AUS,1989,33.2
AUS,1995,32.6
AUS,2001,33.5
AUS,2003,33.5
AUS,2004,33.1
AUS,2008,35.4
AUS,2010,34.7
AUS,2014,34.4
AUT,1987,23
AUT,1994,31.3
AUT,1995,31.1
AUT,1997,30.2
AUT,2000,28.8
AUT,2003,29.5
AUT,2004,29.8
AUT,2005,28.7
AUT,2006,29.6
AUT,2007,30.6
AUT,2008,30.4
AUT,2009,31.5
AUT,2010,30.3
AUT,2011,30.8
AUT,2012,30.5
AUT,2013,30.8
AUT,2014,30.5
AUT,2015,30.5
AUT,2016,30.8
AUT,2017,29.7
AZE,1995,34.7
