"","OriginCountry","Year","Stock_IDMC"
"1","AB9","2014","20000"
"2","AB9","2015","82000"
"3","AB9","2016","20000"
"4","AB9","2017","31000"
"5","AB9","2018","31000"
"6","AFG","2008",NA
"7","AFG","2009","297000"
"8","AFG","2010","352000"
"9","AFG","2011","450000"
"10","AFG","2012","492000"
"11","AFG","2013","631000"
"12","AFG","2014","805000"
"13","AFG","2015","1174000"
"14","AFG","2016","1553000"
"15","AFG","2017","1286000"
"16","AFG","2018","2598000"
"17","AGO","2009",NA
"18","AGO","2010",NA
"19","AGO","2011",NA
"20","AGO","2012",NA
"21","AGO","2013",NA
"22","AGO","2015",NA
"23","AGO","2016",NA
"24","AGO","2017",NA
"25","AGO","2018",NA
"26","AIA","2017",NA
"27","ALB","2009",NA
"28","ALB","2010",NA
"29","ALB","2012",NA
"30","ALB","2013",NA
"31","ALB","2014",NA
"32","ALB","2015",NA
"33","ALB","2016",NA
"34","ALB","2017",NA
"35","ALB","2018",NA
"36","ARE","2017",NA
"37","ARG","2008",NA
"38","ARG","2009",NA
"39","ARG","2010",NA
"40","ARG","2011",NA
"41","ARG","2012",NA
"42","ARG","2013",NA
"43","ARG","2014",NA
"44","ARG","2015",NA
"45","ARG","2016",NA
"46","ARG","2017",NA
"47","ARG","2018",NA
"48","ARM","2009","8400"
"49","ARM","2010","8400"
"50","ARM","2011","8400"
"51","ARM","2012","8400"
"52","ARM","2013","8400"
"53","ARM","2014","8400"
"54","ARM","2015","8400"
"55","ARM","2016","8400"
"56","ARM","2017",NA
"57","ARM","2018",NA
"58","ASM","2009",NA
"59","ASM","2018",NA
"60","ATG","2008",NA
"61","ATG","2010",NA
"62","ATG","2017",NA
"63","AUS","2008",NA
"64","AUS","2009",NA
"65","AUS","2010",NA
"66","AUS","2011",NA
"67","AUS","2012",NA
"68","AUS","2013",NA
"69","AUS","2014",NA
"70","AUS","2015",NA
"71","AUS","2016",NA
"72","AUS","2017",NA
"73","AUS","2018",NA
"74","AUT","2008",NA
"75","AUT","2013",NA
"76","AUT","2016",NA
"77","AZE","2009","586000"
"78","AZE","2010","593000"
"79","AZE","2011","599000"
"80","AZE","2012","600000"
"81","AZE","2013","543000"
"82","AZE","2014","569000"
"83","AZE","2015","564000"
"84","AZE","2016","582000"
"85","AZE","2017","393000"
"86","AZE","2018","344000"
"87","BDI","2008",NA
"88","BDI","2009","100000"
"89","BDI","2010","100000"
"90","BDI","2011","79000"
"91","BDI","2012","79000"
"92","BDI","2013","79000"
"93","BDI","2014","78000"
"94","BDI","2015","99000"
"95","BDI","2016","59000"
"96","BDI","2017","57000"
"97","BDI","2018","49000"
"98","BEL","2008",NA
"99","BEL","2010",NA
"100","BEL","2011",NA
"101","BEL","2018",NA
"102","BEN","2008",NA
"103","BEN","2009",NA
"104","BEN","2010",NA
"105","BEN","2011",NA
"106","BEN","2012",NA
"107","BEN","2013",NA
"108","BEN","2016",NA
"109","BEN","2017",NA
"110","BEN","2018","3500"
"111","BFA","2008",NA
"112","BFA","2009",NA
"113","BFA","2010",NA
"114","BFA","2013",NA
"115","BFA","2015",NA
"116","BFA","2016","700"
"117","BFA","2017","4900"
"118","BFA","2018","47000"
"119","BGD","2008",NA
"120","BGD","2009","426000"
"121","BGD","2010","426000"
"122","BGD","2011","426000"
"123","BGD","2012","426000"
"124","BGD","2013","426000"
"125","BGD","2014","426000"
"126","BGD","2015","426000"
"127","BGD","2016","426000"
"128","BGD","2017","432000"
"129","BGD","2018","426000"
"130","BGR","2008",NA
"131","BGR","2010",NA
"132","BGR","2012",NA
"133","BGR","2014",NA
"134","BGR","2015",NA
"135","BGR","2016",NA
"136","BGR","2017",NA
"137","BGR","2018",NA
"138","BHS","2008",NA
"139","BHS","2011",NA
"140","BHS","2015",NA
"141","BHS","2016",NA
"142","BHS","2017",NA
"143","BHS","2018",NA
"144","BIH","2009","114000"
"145","BIH","2010","113000"
"146","BIH","2011","113000"
"147","BIH","2012","103000"
"148","BIH","2013","103000"
"149","BIH","2014","100000"
"150","BIH","2015","98000"
"151","BIH","2016","98000"
"152","BIH","2017","99000"
"153","BIH","2018","99000"
"154","BLZ","2008",NA
"155","BLZ","2013",NA
"156","BLZ","2015",NA
"157","BLZ","2016",NA
"158","BOL","2008",NA
"159","BOL","2009",NA
"160","BOL","2010",NA
"161","BOL","2011",NA
"162","BOL","2012",NA
"163","BOL","2013",NA
"164","BOL","2014",NA
"165","BOL","2015",NA
"166","BOL","2016",NA
"167","BOL","2017",NA
"168","BOL","2018",NA
"169","BRA","2008",NA
"170","BRA","2009",NA
"171","BRA","2010",NA
"172","BRA","2011",NA
"173","BRA","2012",NA
"174","BRA","2013",NA
"175","BRA","2014",NA
"176","BRA","2015",NA
"177","BRA","2016",NA
"178","BRA","2017",NA
"179","BRA","2018",NA
"180","BRB","2010",NA
"181","BRB","2016",NA
"182","BRN","2014",NA
"183","BRN","2017",NA
"184","BTN","2009",NA
"185","BTN","2011",NA
"186","BTN","2015",NA
"187","BTN","2016",NA
"188","BWA","2009",NA
"189","BWA","2011",NA
"190","BWA","2013",NA
"191","BWA","2014",NA
"192","BWA","2015",NA
"193","BWA","2017",NA
"194","BWA","2018",NA
"195","CAF","2008",NA
"196","CAF","2009","162000"
"197","CAF","2010","192000"
"198","CAF","2011","105000"
"199","CAF","2012","132000"
