iso,year,animal_em,drought_em,earthquake_em,epidemic_em,extremetemp_em,flood_em,fog_em,impact_em,insect_em,landslide_em,massmove_em,storm_em,volcano_em,wildfire_em,totaldeaths,totaldisasters,totaldamage
AFG,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1,0
AFG,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1956,0,0,1,0,0,1,0,0,0,0,0,0,0,0,151,2,25000
AFG,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1963,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,1,0
AFG,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200
AFG,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1971,0,1,0,0,0,0,0,0,0,1,0,0,0,0,100,2,0
AFG,1972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150,1,0
AFG,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1976,0,0,1,0,0,1,0,0,0,0,0,0,0,0,101,2,0
AFG,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120,1,52000
AFG,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AFG,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,500,1,1000
AFG,1983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,3000
AFG,1984,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5000
AFG,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,1,0
