"","Year","OriginCountry","flow"
"4769",2010,"ABW",2
"421",1979,"AFG",6787
"462",1980,"AFG",13200
"525",1981,"AFG",461
"589",1982,"AFG",17224
"657",1983,"AFG",11353
"726",1984,"AFG",2230
"797",1985,"AFG",9956
"871",1986,"AFG",-32154
"945",1987,"AFG",-2834
"1019",1988,"AFG",13175
"1110",1989,"AFG",12420
"1208",1990,"AFG",-5104
"1318",1991,"AFG",1036
"1439",1992,"AFG",14522
"1572",1993,"AFG",78654
"1716",1994,"AFG",34906
"1887",1995,"AFG",17659
"2064",1996,"AFG",18
"2247",1997,"AFG",60330
"2432",1998,"AFG",80015
"2617",1999,"AFG",-10119
"2805",2000,"AFG",320819
"2997",2001,"AFG",283207
"3186",2002,"AFG",245874
"3384",2003,"AFG",270049
"3584",2004,"AFG",237906
"3782",2005,"AFG",221589
"3980",2006,"AFG",189296
"4179",2007,"AFG",220593
"4376",2008,"AFG",260452
"4573",2009,"AFG",326518
"4770",2010,"AFG",363376
"4969",2011,"AFG",299567
"5170",2012,"AFG",293253
"5372",2013,"AFG",386106
"5575",2014,"AFG",446566
"5782",2015,"AFG",436596
"5992",2016,"AFG",470631
"6201",2017,"AFG",465576
"6409",2018,"AFG",347407
"1",1960,"AGO",1916
"2",1961,"AGO",0
"5",1962,"AGO",644
"8",1963,"AGO",147
"13",1964,"AGO",672
"26",1965,"AGO",489
"40",1966,"AGO",8096
"58",1967,"AGO",3100
"76",1968,"AGO",7527
"99",1969,"AGO",-5619
"124",1970,"AGO",7953
"153",1971,"AGO",-7212
"184",1972,"AGO",-1205
"216",1973,"AGO",1309
"242",1974,"AGO",-2051
"274",1975,"AGO",15570
"312",1976,"AGO",-17869
"345",1977,"AGO",984
"377",1978,"AGO",4629
"422",1979,"AGO",-346
"463",1980,"AGO",-1921
"526",1981,"AGO",10438
"590",1982,"AGO",-1961
"658",1983,"AGO",-11274
"727",1984,"AGO",10771
"798",1985,"AGO",-8832
"872",1986,"AGO",3072
"946",1987,"AGO",3046
"1020",1988,"AGO",11162
"1111",1989,"AGO",5161
"1209",1990,"AGO",1180
"1319",1991,"AGO",12724
"1440",1992,"AGO",6366
"1573",1993,"AGO",66177
"1717",1994,"AGO",9212
"1888",1995,"AGO",-10597
"2065",1996,"AGO",7283
"2248",1997,"AGO",26533
"2433",1998,"AGO",39899
"2618",1999,"AGO",39614
"2806",2000,"AGO",131479
"2998",2001,"AGO",188562
"3187",2002,"AGO",170534
"3385",2003,"AGO",191684
"3585",2004,"AGO",162720
"3783",2005,"AGO",161368
"3981",2006,"AGO",172357
"4180",2007,"AGO",166572
"4377",2008,"AGO",120157
"4574",2009,"AGO",174862
"4771",2010,"AGO",170673
"4970",2011,"AGO",160606
"5171",2012,"AGO",132438
"5373",2013,"AGO",231678
"5576",2014,"AGO",178817
"5783",2015,"AGO",150671
"5993",2016,"AGO",224071
"6202",2017,"AGO",146192
"6410",2018,"AGO",172402
"5577",2014,"AIA",2
"5784",2015,"AIA",0
"5994",2016,"AIA",0
"14",1964,"ALB",4
"27",1965,"ALB",7691
"41",1966,"ALB",0
"59",1967,"ALB",-627
"77",1968,"ALB",-149
"100",1969,"ALB",6200
"125",1970,"ALB",227
"154",1971,"ALB",-6683
"185",1972,"ALB",3135
"217",1973,"ALB",-577
"243",1974,"ALB",-2676
"275",1975,"ALB",0
"346",1977,"ALB",3377
"378",1978,"ALB",5365
