"","OriginCountry","Year","Size"
"1","Various/Unknown",1951,90601
"2","Various/Unknown",1952,83764
"3","Various/Unknown",1953,79041
"4","Various/Unknown",1954,96312
"5","Various/Unknown",1955,73901
"6","Various/Unknown",1956,69815
"7","Various/Unknown",1957,83736
"8","Various/Unknown",1958,85276
"9","Various/Unknown",1959,82335
"10","AGO",1960,1916
"11","Various/Unknown",1960,77180
"12","AGO",1961,1916
"13","GHA",1961,7828
"14","RWA",1961,22436
"15","Various/Unknown",1961,78102
"16","AGO",1962,2560
"17","GHA",1962,7828
"18","RWA",1962,22436
"19","Various/Unknown",1962,74245
"20","AGO",1963,2707
"21","GHA",1963,7828
"22","GNB",1963,8720
"23","RWA",1963,23325
"24","SDN",1963,17906
"25","Various/Unknown",1963,80174
"26","AGO",1964,3379
"27","ALB",1964,4
"28","ARM",1964,2557
"29","CHN",1964,10626
"30","COD",1964,17389
"31","GHA",1964,7828
"32","GNB",1964,5417
"33","MOZ",1964,6
"34","RUS",1964,876
"35","RWA",1964,24236
"36","SDN",1964,16371
"37","TIB",1964,16643
"38","Various/Unknown",1964,73815
"39","VNM",1964,6
"40","AGO",1965,3868
"41","ALB",1965,7695
"42","BDI",1965,5416
"43","CHN",1965,11154
"44","COD",1965,17171
"45","GHA",1965,7828
"46","GNB",1965,7829
"47","GRC",1965,2755
"48","HUN",1965,5826
"49","MOZ",1965,8706
"50","RWA",1965,23079
"51","SDN",1965,13305
"52","TIB",1965,16756
"53","Various/Unknown",1965,114771
"54","VNM",1965,1915
"55","AGO",1966,11964
"56","ALB",1966,7695
"57","BDI",1966,4506
"58","CHN",1966,16183
"59","COD",1966,22729
"60","CPV",1966,5415
"61","GNB",1966,8804
"62","GRC",1966,9507
"63","HUN",1966,5826
"64","MOZ",1966,5953
"65","MWI",1966,1913
"66","NAM",1966,2845
"67","RUS",1966,2832
"68","RWA",1966,23266
"69","SDN",1966,19057
"70","TIB",1966,16756
"71","Various/Unknown",1966,106496
"72","VNM",1966,2559
"73","ZAF",1966,6663
"74","AGO",1967,15064
"75","ALB",1967,7068
"76","CHN",1967,9708
"77","COD",1967,28467
"78","COG",1967,10806
"79","CPV",1967,5415
"80","ETH",1967,5184
"81","GNB",1967,8679
"82","GRC",1967,10617
"83","HUN",1967,5826
"84","MOZ",1967,9503
"85","MWI",1967,3826
"86","NAM",1967,4086
"87","RWA",1967,23306
"88","SDN",1967,19125
"89","TIB",1967,17399
"90","Various/Unknown",1967,108736
"91","VNM",1967,3378
"92","ZAF",1967,7318
"93","AGO",1968,22591
"94","ALB",1968,6919
"95","ARM",1968,3376
"96","CHN",1968,9437
"97","COD",1968,35676
"98","COG",1968,5871
"99","CPV",1968,6450
"100","ETH",1968,5576
"101","GNB",1968,8434
"102","GRC",1968,8390
"103","HUN",1968,5826
"104","IRQ",1968,4904
"105","MOZ",1968,10571
"106","MWI",1968,1598
"107","NAM",1968,1006
"108","NGA",1968,7234
"109","RWA",1968,23390
"110","SDN",1968,24943
"111","SYR",1968,877
"112","TIB",1968,18201
"113","Various/Unknown",1968,120974
"114","VNM",1968,3867
"115","ZAF",1968,12620
"116","ZMB",1968,1915
"117","AGO",1969,16972
"118","ALB",1969,13119
"119","ARM",1969,3376
"120","BGR",1969,10640
"121","CHN",1969,9097
"122","COD",1969,28982
"123","CPV",1969,6777
"124","CUB",1969,1767
"125","ETH",1969,5576
"126","GNB",1969,9291
"127","GRC",1969,7917
"128","HUN",1969,16466
"129","IRQ",1969,4904
"130","MOZ",1969,12391
"131","MWI",1969,9424
"132","NAM",1969,10320
"133","NGA",1969,19484
"134","RWA",1969,21604
"135","SDN",1969,24914
"136","SRB",1969,1256
"137","SYR",1969,877
"138","TIB",1969,18450
"139","Various/Unknown",1969,202016
"140","VNM",1969,3867
"141","ZAF",1969,5248
"142","ZMB",1969,1258
"143","AGO",1970,24925
"144","ALB",1970,13346
"145","ARM",1970,3376
"146","BGR",1970,5724
"147","BOL",1970,1599
"148","CHN",1970,9165
"149","COD",1970,32668
"150","CPV",1970,6777
"151","CUB",1970,5633
"152","CZE",1970,9434
"153","ESP",1970,9304
"154","ETH",1970,8230
"155","GNB",1970,9212
"156","GRC",1970,7300
"157","HUN",1970,17722
"158","MOZ",1970,19963
"159","MWI",1970,1917
"160","NAM",1970,19038
"161","POL",1970,1913
"162","ROU",1970,15652
"163","RUS",1970,2557
"164","RWA",1970,25684
"165","SDN",1970,30881
"166","SRB",1970,1913
"167","TCD",1970,9426
"168","TIB",1970,18526
"169","Various/Unknown",1970,210909
"170","VNM",1970,3378
"171","ZAF",1970,30334
"172","ZMB",1970,10642
"173","AGO",1971,17713
"174","ALB",1971,6663
"175","ARM",1971,23105
"176","BGR",1971,6035
"177","BOL",1971,6942
"178","BRA",1971,3377
"179","CHN",1971,9437
"180","COD",1971,21750
"181","CUB",1971,12164
"182","CZE",1971,9434
"183","ESP",1971,9236
"184","ETH",1971,11655
"185","GIN",1971,5415
"186","GNB",1971,10079
"187","GRC",1971,1850
"188","HUN",1971,11896
"189","KHM",1971,8462
"190","LSO",1971,8718
"191","MOZ",1971,15793
"192","MWI",1971,1917
"193","NAM",1971,10641
"194","POL",1971,1913
"195","ROU",1971,8718
"196","RUS",1971,2269
"197","RWA",1971,20992
"198","SDN",1971,34505
"199","SRB",1971,1598
"200","TCD",1971,1599
"201","TIB",1971,18422
"202","Various/Unknown",1971,206714
"203","ZAF",1971,27866
"204","ZMB",1971,9769
"205","AGO",1972,16508
"206","ALB",1972,9798
"207","ARM",1972,6179
"208","BDI",1972,23601
"209","BGR",1972,6035
